id,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,突尼斯,1178,0,1039,50,0,0.0,3.0,,1.0,0.0,,,
9507896,塞尔维亚,15504,0,13064,298,0,0.0,309.0,,152.0,11.0,,,
0,中国,85287,0,80117,4648,0,1925.0,9.0,,15.0,0.0,,-6.0,2.0
1,日本,18241,0,16298,940,0,0.0,75.0,,63.0,0.0,,,0.0
2,泰国,3180,0,3066,58,0,0.0,1.0,,7.0,0.0,,,
3,新加坡,44479,0,39429,26,0,0.0,169.0,,418.0,0.0,,,
4,韩国,12967,0,11759,282,0,0.0,63.0,,75.0,0.0,,,
5,澳大利亚,8255,0,7319,104,0,0.0,254.0,,229.0,0.0,,,
6,德国,196759,0,180300,9012,0,0.0,389.0,,500.0,8.0,,,
7,美国,2837189,0,1191091,131485,0,0.0,57236.0,,26411.0,687.0,,,
8,马来西亚,8648,0,8446,121,0,0.0,5.0,,9.0,0.0,,,
9,越南,355,0,340,0,0,0.0,0.0,,4.0,0.0,,,
89566,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,肯尼亚,7188,0,2109,154,0,0.0,247.0,,20.0,5.0,,,
826,伊朗,235429,0,196446,11260,0,0.0,2566.0,,2348.0,154.0,,,
827,以色列,27611,0,17607,326,0,0.0,1159.0,,126.0,2.0,,,
828,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,黎巴嫩,1830,0,1292,35,0,0.0,34.0,,50.0,0.0,,,
833,克罗地亚,3008,0,2168,112,0,0.0,96.0,,13.0,2.0,,,
834,奥地利,18050,0,16558,705,0,0.0,109.0,,44.0,0.0,,,
835,瑞士,32101,0,29200,1965,0,0.0,134.0,,0.0,0.0,,,
839,希腊,3458,0,1374,192,0,0.0,26.0,,0.0,0.0,,,
95800,毛里求斯,341,0,330,10,0,0.0,0.0,,0.0,0.0,,,
845,爱沙尼亚,1991,0,1859,69,0,0.0,1.0,,17.0,0.0,,,
846,北马其顿,6625,0,2748,321,0,0.0,171.0,,0.0,0.0,,,
850,白俄罗斯,62698,0,48738,405,0,0.0,274.0,,0.0,0.0,,,
851,立陶宛,1828,0,1539,79,0,0.0,3.0,,3.0,1.0,,,
852,阿塞拜疆,19267,0,10820,235,0,0.0,1155.0,,759.0,15.0,,,
875097,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,蒙古,197,0,98,0,0,,,,,,,,
872,乌克兰,47705,0,21296,1227,0,0.0,884.0,,541.0,27.0,,,
