id,name,lastUpdateTime,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,突尼斯,2020-07-07 08:53:43,1199,0,1049,50,0,0.0,11.0,,1.0,0.0,,,
9507896,塞尔维亚,2020-07-07 08:53:44,16420,0,13366,317,0,0.0,289.0,,0.0,0.0,,,
0,中国,2020-07-07 08:53:41,85345,0,80168,4648,0,1942.0,25.0,,11.0,0.0,,14.0,8.0
1,日本,2020-06-15 07:16:58,18241,0,16298,940,0,0.0,75.0,,63.0,0.0,,,0.0
2,泰国,2020-07-07 08:53:43,3195,0,3072,58,0,0.0,5.0,,0.0,0.0,,,
3,新加坡,2020-07-07 08:53:44,44983,0,40717,26,0,0.0,183.0,,276.0,0.0,,,
4,韩国,2020-07-07 10:03:47,13181,0,11914,285,0,0.0,44.0,,66.0,1.0,,,
5,澳大利亚,2020-07-07 10:03:47,8591,0,7419,106,0,0.0,5.0,,0.0,0.0,,,
6,德国,2020-07-07 08:53:43,198064,0,182160,9022,0,0.0,112.0,,70.0,0.0,,,
7,美国,2020-07-07 09:38:47,3040833,0,1324947,132979,0,0.0,50586.0,,35383.0,410.0,,,
8,马来西亚,2020-07-07 08:53:43,8668,0,8476,121,0,0.0,5.0,,0.0,0.0,,,
9,越南,2020-07-07 08:53:43,369,0,341,0,0,0.0,14.0,,0.0,0.0,,,
89566,圣巴泰勒米,2020-06-12 17:03:12,6,0,6,0,0,,,,,,,,
821,肯尼亚,2020-07-07 08:53:43,8067,0,2414,164,0,0.0,181.0,,0.0,0.0,,,
826,伊朗,2020-07-07 08:53:43,243051,0,204083,11731,0,0.0,2613.0,,0.0,0.0,,,
827,以色列,2020-07-07 08:53:43,30749,0,18056,334,0,0.0,587.0,,82.0,2.0,,,
828,毛利亚尼亚,2020-06-09 19:59:04,16,0,6,2,0,,,,,,,,
829,黎巴嫩,2020-07-07 08:53:43,1885,0,1311,36,0,0.0,12.0,,0.0,0.0,,,
833,克罗地亚,2020-07-07 08:53:43,3220,0,2210,113,0,0.0,69.0,,0.0,0.0,,,
834,奥地利,2020-07-07 08:53:43,18365,0,16647,706,0,0.0,85.0,,0.0,0.0,,,
835,瑞士,2020-07-07 08:53:43,32315,0,29300,1965,0,0.0,47.0,,0.0,0.0,,,
839,希腊,2020-07-07 08:53:43,3562,0,1374,192,0,0.0,43.0,,0.0,0.0,,,
95800,毛里求斯,2020-07-07 08:53:44,342,0,330,10,0,0.0,1.0,,0.0,0.0,,,
845,爱沙尼亚,2020-07-07 08:53:44,1994,0,1875,69,0,0.0,1.0,,0.0,0.0,,,
846,北马其顿,2020-07-07 08:53:43,7124,0,3199,346,0,0.0,78.0,,0.0,0.0,,,
850,白俄罗斯,2020-07-07 08:53:43,63804,0,51120,429,0,0.0,250.0,,0.0,0.0,,,
851,立陶宛,2020-07-07 08:53:43,1841,0,1547,79,0,0.0,5.0,,0.0,0.0,,,
852,阿塞拜疆,2020-07-07 08:53:44,20837,0,12182,258,0,0.0,513.0,,0.0,0.0,,,
875097,美属维尔京群岛,2020-06-12 17:06:26,72,0,46,6,0,,,,,,,,
95826,蒙古,2020-06-15 13:26:49,197,0,98,0,0,,,,,,,,
872,乌克兰,2020-07-07 08:53:44,50053,0,22462,1278,0,0.0,585.0,,0.0,0.0,,,
874,波兰,2020-07-07 08:53:43,36155,0,23966,1521,0,0.0,205.0,,0.0,0.0,,,
879,波黑,2020-07-07 08:53:43,5458,0,2598,199,0,0.0,496.0,,0.0,0.0,,,
80902,蒙特塞拉特,2020-06-12 17:02:32,11,0,10,1,0,,,,,,,,
880,南非,2020-07-07 08:53:43,205721,0,97848,3310,0,0.0,8971.0,,4533.0,111.0,,,
95198,布隆迪,2020-06-15 14:48:50,85,0,45,1,0,,,,,,,,
95215522,南苏丹,2020-06-15 07:27:53,1755,0,58,30,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
893,马耳他,2020-07-07 08:53:43,672,0,652,9,0,0.0,0.0,,0.0,0.0,,,
896,摩尔多瓦,2020-07-07 08:53:43,17906,0,11047,592,0,0.0,92.0,,0.0,0.0,,,
897,保加利亚,2020-07-07 08:53:43,5914,0,3000,250,0,0.0,174.0,,85.0,4.0,,,
898,孟加拉,2020-07-07 08:53:43,165618,0,76149,2096,0,0.0,3201.0,,0.0,0.0,,,
899,阿尔巴尼亚,2020-06-15 10:20:56,1521,0,1044,36,0,,,0.0,,,0.0,,
950000,巴勒斯坦,2020-07-07 08:53:43,4341,0,491,17,0,0.0,298.0,,0.0,0.0,,,
95kml,科摩罗,2020-06-15 13:47:09,176,0,114,2,0,,,,,,,,
953333,阿富汗,2020-07-07 08:53:43,33190,0,20103,898,0,0.0,239.0,,0.0,0.0,,,
95888822,沙特阿拉伯,2020-07-07 08:53:44,213716,0,149634,1968,0,0.0,4207.0,,0.0,0.0,,,
9511123,新西兰,2020-07-07 08:53:43,1534,0,1490,22,0,0.0,1.0,,0.0,0.0,,,
95333,塔吉克斯坦,2020-07-07 08:53:44,6262,0,4914,53,0,0.0,49.0,,56.0,0.0,,,
83356,泽西岛,2020-06-15 13:25:33,313,0,292,15,0,0.0,,,,,,,
954467,叙利亚,2020-06-15 13:51:09,177,0,74,6,0,,,0.0,,,0.0,,
95327,巴拿马,2020-07-07 08:58:45,39334,0,18036,770,0,0.0,1185.0,,50.0,23.0,,,
95329,古巴,2020-07-07 08:53:43,2380,0,2234,86,0,0.0,8.0,,0.0,0.0,,,
9511111,尼日利亚,2020-07-07 08:53:43,29286,0,11828,654,0,0.0,575.0,,163.0,9.0,,,
95858585,摩洛哥,2020-07-07 08:53:43,14379,0,10173,237,0,0.0,50.0,,336.0,2.0,,,
9500222,塞内加尔,2020-07-07 08:53:44,7478,0,4870,136,0,0.0,78.0,,0.0,3.0,,,
95118,老挝,2020-06-15 14:24:59,19,0,19,0,0,,,,,,,,
95350,巴哈马,2020-07-07 08:53:43,104,0,89,11,0,0.0,0.0,,0.0,0.0,,,
84226,马约特岛,2020-06-15 10:14:23,2282,0,1790,28,0,0.0,,,,,,,
954444,斯洛文尼亚,2020-07-07 08:53:43,1716,0,1384,111,0,0.0,16.0,,0.0,0.0,,,
95103,卢森堡,2020-07-07 08:53:43,4542,0,4016,110,0,0.0,20.0,,0.0,0.0,,,
95106,爱尔兰,2020-07-07 08:53:43,25531,0,23364,1741,0,0.0,4.0,,0.0,0.0,,,
95102,厄瓜多尔,2020-07-07 08:53:44,62380,0,28872,4821,0,0.0,422.0,,150.0,40.0,,,
957777,捷克,2020-07-07 08:53:43,12566,0,7873,350,0,0.0,51.0,,9.0,2.0,,,
9522222,匈牙利,2020-07-07 08:53:43,4189,0,2860,589,0,0.0,6.0,,0.0,0.0,,,
8101,法属圭亚那,2020-06-15 10:57:56,1255,0,534,3,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8102,多哥共和国,2020-06-15 11:45:39,530,0,291,13,0,0.0,,,,,,,
8100,哥斯达黎加,2020-07-07 08:53:43,5241,0,1776,23,0,0.0,245.0,,31.0,3.0,,,
8105,文莱,2020-07-07 08:53:43,141,0,138,3,0,0.0,0.0,,0.0,0.0,,,
8103,法罗群岛,2020-06-15 13:46:38,187,0,187,0,0,0.0,,,,,,,
8104,马提尼克岛,2020-07-07 08:53:43,37,0,0,1,0,0.0,5.0,,0.0,0.0,,,
95120,荷兰,2020-07-07 08:53:43,50870,0,187,6147,0,0.0,36.0,,0.0,1.0,,,
951234567,巴西,2020-07-07 08:53:43,1623284,0,1054591,65487,0,0.0,20229.0,,16332.0,620.0,,,
8115,洪都拉斯,2020-07-07 08:53:44,23943,0,2490,639,0,0.0,1022.0,,0.0,0.0,,,
95394,乌拉圭,2020-07-07 08:53:44,960,0,858,29,0,0.0,4.0,,9.0,1.0,,,
95390,秘鲁,2020-07-07 08:53:44,305703,0,197619,10772,0,0.0,2985.0,,3662.0,183.0,,,
