date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,name
2020-03-03,1,0,0,0,0,0,1,0.0,0,0,,,,突尼斯
2020-03-08,2,0,0,0,0,0,1,0.0,0,0,0.0,,0.0,突尼斯
2020-03-09,5,0,0,0,0,0,3,0.0,0,0,0.0,,0.0,突尼斯
2020-03-11,7,0,0,0,0,0,2,0.0,0,0,0.0,,0.0,突尼斯
2020-03-12,13,0,0,0,0,0,6,0.0,0,0,0.0,,0.0,突尼斯
2020-03-13,16,0,0,0,0,0,3,0.0,0,0,0.0,,0.0,突尼斯
2020-03-14,18,0,0,0,0,0,2,0.0,0,0,0.0,,0.0,突尼斯
2020-03-15,20,0,0,0,0,0,2,0.0,0,0,0.0,,0.0,突尼斯
2020-03-17,24,0,0,0,0,0,4,0.0,0,0,0.0,,0.0,突尼斯
2020-03-19,39,0,0,0,0,0,15,0.0,0,0,0.0,,0.0,突尼斯
2020-03-20,54,0,0,0,0,0,15,0.0,0,0,0.0,,0.0,突尼斯
2020-03-21,60,0,0,1,0,0,6,0.0,0,1,0.0,,0.0,突尼斯
2020-03-22,75,0,0,3,0,0,15,0.0,0,2,0.0,,0.0,突尼斯
2020-03-23,89,0,0,3,0,0,14,0.0,0,0,0.0,,0.0,突尼斯
2020-03-24,114,0,0,3,0,0,25,0.0,0,0,0.0,,0.0,突尼斯
2020-03-25,173,0,0,5,0,0,59,0.0,0,2,0.0,,0.0,突尼斯
2020-03-26,197,0,2,5,0,0,24,0.0,2,0,0.0,,0.0,突尼斯
2020-03-27,227,0,2,6,0,0,30,0.0,0,1,0.0,,0.0,突尼斯
2020-03-28,278,0,2,6,0,0,51,0.0,0,0,0.0,,0.0,突尼斯
2020-03-29,362,0,3,8,0,0,84,0.0,1,2,0.0,,0.0,突尼斯
2020-03-31,394,0,3,10,0,0,32,0.0,0,2,0.0,,0.0,突尼斯
2020-04-01,423,0,3,12,0,0,29,0.0,0,2,0.0,,0.0,突尼斯
2020-04-02,455,0,3,14,0,0,32,0.0,0,2,0.0,,0.0,突尼斯
2020-04-03,495,0,3,14,0,0,40,0.0,0,0,0.0,,0.0,突尼斯
2020-04-04,553,0,5,19,0,0,58,0.0,2,5,0.0,,0.0,突尼斯
2020-04-05,574,0,5,22,0,0,21,0.0,0,3,0.0,,0.0,突尼斯
2020-04-06,596,0,5,22,0,0,22,0.0,0,0,0.0,,0.0,突尼斯
2020-04-07,623,0,5,23,0,0,27,0.0,0,1,0.0,,0.0,突尼斯
2020-04-08,628,0,25,24,0,0,5,0.0,20,1,0.0,,0.0,突尼斯
2020-04-09,643,0,25,25,0,0,15,0.0,0,1,0.0,,0.0,突尼斯
2020-04-10,671,0,25,25,0,0,28,0.0,0,0,0.0,,0.0,突尼斯
2020-04-11,685,0,25,28,0,0,14,0.0,0,3,0.0,,0.0,突尼斯
2020-04-12,707,0,43,31,0,0,22,0.0,18,3,0.0,,0.0,突尼斯
2020-04-13,726,0,43,34,0,0,19,0.0,0,3,0.0,,0.0,突尼斯
2020-04-14,747,0,43,34,0,0,21,0.0,0,0,0.0,,0.0,突尼斯
2020-04-15,780,0,43,35,0,0,33,0.0,0,1,0.0,,0.0,突尼斯
2020-04-16,822,0,43,37,0,0,42,0.0,0,2,0.0,,0.0,突尼斯
2020-04-17,864,0,43,37,0,0,42,0.0,0,0,0.0,,0.0,突尼斯
2020-04-18,866,0,43,37,0,0,2,0.0,0,0,0.0,,0.0,突尼斯
2020-04-19,879,0,43,38,0,0,13,0.0,0,1,0.0,,0.0,突尼斯
2020-04-20,884,0,43,38,0,0,5,0.0,0,0,0.0,,0.0,突尼斯
2020-04-21,901,0,170,38,0,0,17,0.0,127,0,0.0,,0.0,突尼斯
2020-04-22,909,0,190,38,0,0,8,0.0,20,0,0.0,,0.0,突尼斯
2020-04-23,918,0,190,38,0,0,9,0.0,0,0,0.0,,0.0,突尼斯
2020-04-24,922,0,194,38,0,0,4,0.0,4,0,0.0,,0.0,突尼斯
2020-04-25,939,0,207,38,0,0,17,0.0,13,0,0.0,,0.0,突尼斯
2020-04-26,949,0,216,38,0,0,10,0.0,9,0,0.0,,0.0,突尼斯
2020-03-09,2,0,0,0,0,0,2,0.0,0,0,0.0,,,塞尔维亚
2020-03-10,5,0,0,0,0,0,3,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-11,12,0,0,0,0,0,7,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-12,24,0,0,0,0,0,12,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-13,35,0,0,0,0,0,11,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-14,46,0,0,0,0,0,11,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-15,48,0,0,0,0,0,2,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-16,65,0,0,0,0,0,17,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-17,83,0,0,0,0,0,18,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-18,89,0,0,0,0,0,6,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-19,103,0,0,0,0,0,14,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-20,118,0,0,1,0,0,15,0.0,0,1,0.0,,0.0,塞尔维亚
2020-03-21,171,0,0,1,0,0,53,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-22,222,0,0,2,0,0,51,0.0,0,1,0.0,,0.0,塞尔维亚
2020-03-23,249,0,0,3,0,0,27,0.0,0,1,0.0,,0.0,塞尔维亚
2020-03-24,303,0,0,3,0,0,54,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-25,384,0,0,4,0,0,81,0.0,0,1,0.0,,0.0,塞尔维亚
2020-03-26,457,0,0,4,0,0,73,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-28,659,0,0,4,0,0,202,0.0,0,0,0.0,,0.0,塞尔维亚
2020-03-29,741,0,0,13,0,0,82,0.0,0,9,0.0,,0.0,塞尔维亚
2020-03-30,785,0,0,16,0,0,44,0.0,0,3,0.0,,0.0,塞尔维亚
2020-03-31,900,0,0,23,0,0,115,0.0,0,7,0.0,,0.0,塞尔维亚
2020-04-01,1060,0,0,24,0,0,160,0.0,0,1,0.0,,0.0,塞尔维亚
2020-04-02,1171,0,0,31,0,0,111,0.0,0,7,0.0,,0.0,塞尔维亚
2020-04-03,1476,0,0,44,0,0,305,0.0,0,13,0.0,,0.0,塞尔维亚
2020-04-04,1624,0,0,44,0,0,148,0.0,0,0,0.0,,0.0,塞尔维亚
2020-04-05,1908,0,0,51,0,0,284,0.0,0,7,0.0,,0.0,塞尔维亚
2020-04-06,2200,0,0,58,0,0,292,0.0,0,7,0.0,,0.0,塞尔维亚
2020-04-07,2447,0,0,61,0,0,247,0.0,0,3,0.0,,0.0,塞尔维亚
2020-04-08,2666,0,0,65,0,0,219,0.0,0,4,0.0,,0.0,塞尔维亚
2020-04-09,2867,0,118,66,0,0,201,0.0,118,1,0.0,,0.0,塞尔维亚
2020-04-10,3105,0,118,71,0,0,238,0.0,0,5,0.0,,0.0,塞尔维亚
2020-04-11,3380,0,118,74,0,0,275,0.0,0,3,0.0,,0.0,塞尔维亚
2020-04-12,4054,0,400,85,0,0,674,0.0,282,11,0.0,,0.0,塞尔维亚
2020-04-14,4465,0,400,94,0,0,411,0.0,0,9,0.0,,0.0,塞尔维亚
2020-04-15,4873,0,400,99,0,0,408,0.0,0,5,0.0,,0.0,塞尔维亚
2020-04-16,5318,0,443,103,0,0,445,0.0,43,4,0.0,,0.0,塞尔维亚
2020-04-17,5690,0,534,110,0,0,372,0.0,91,7,0.0,,0.0,塞尔维亚
2020-04-18,5994,0,637,117,0,0,304,0.0,103,7,0.0,,0.0,塞尔维亚
