id,name,lastUpdateTime,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,confirm,suspect,heal,dead,severe,storeConfirm,input
420000,湖北,2020-07-04 08:28:11,68135,0,63623,4512,0,0,,,,0,,0,0,,0,
440000,广东,2020-07-04 08:58:13,1643,0,1629,8,0,0,,,,1,,0,0,,1,
410000,河南,2020-07-04 08:28:11,1276,0,1254,22,0,0,,,,0,,0,0,,0,
330000,浙江,2020-07-04 08:28:11,1269,0,1267,1,0,0,,,,0,,0,0,,0,
810000,香港,2020-07-04 08:43:21,1247,0,1125,7,0,0,,,,5,,5,0,,0,
430000,湖南,2020-07-04 08:28:11,1019,0,1015,4,0,0,,,,0,,0,0,,0,
340000,安徽,2020-07-04 08:28:11,991,0,985,6,0,0,,,,0,,0,0,,0,
230000,黑龙江,2020-07-04 08:28:10,947,0,934,13,0,0,,,,0,,0,0,,0,
360000,江西,2020-07-04 08:28:11,932,0,931,1,0,0,,,,0,,0,0,,0,
110000,北京,2020-07-04 08:28:11,926,0,594,9,0,0,332.0,0.0,9.0,1,,2,0,,-1,0.0
370000,山东,2020-07-04 08:28:11,792,0,785,7,0,0,,,,0,,0,0,,0,
310000,上海,2020-07-04 08:28:10,715,0,681,7,0,0,,,,1,,3,0,,-2,
320000,江苏,2020-07-04 08:28:11,654,0,653,0,0,0,,,,0,,0,0,,0,
510000,四川,2020-07-04 08:28:11,595,0,581,3,0,0,,,,0,,0,0,,0,
500000,重庆,2020-07-04 08:28:11,582,0,574,6,0,0,,,,0,,0,0,,0,
700000,台湾,2020-07-04 08:58:12,449,0,438,7,0,0,,,,1,,0,0,,1,
350000,福建,2020-07-04 09:53:16,363,0,360,1,0,0,,,,0,,1,0,,-1,
130000,河北,2020-07-04 08:58:12,349,0,336,6,0,0,,,,0,,2,0,,-2,
610000,陕西,2020-07-04 08:28:11,320,0,310,3,0,0,,,,0,,0,0,,0,
450000,广西,2020-07-04 08:28:11,254,0,252,2,0,0,,,,0,,0,0,,0,
150000,内蒙古,2020-07-04 08:28:11,238,0,237,1,0,0,,,,0,,0,0,,0,
140000,山西,2020-07-04 08:28:11,198,0,198,0,0,0,,,,0,,0,0,,0,
120000,天津,2020-07-04 08:28:11,198,0,194,3,0,0,,,,0,,0,0,,0,
530000,云南,2020-07-04 08:28:11,186,0,183,2,0,0,,,,0,,0,0,,0,
460000,海南,2020-07-04 08:28:10,171,0,165,6,0,0,,,,0,,0,0,,0,
620000,甘肃,2020-07-04 08:28:11,164,0,154,2,0,0,,,,0,,0,0,,0,
210000,辽宁,2020-07-04 08:28:11,156,0,149,2,0,0,,,,0,,1,0,,-1,
220000,吉林,2020-07-04 08:28:10,155,0,153,2,0,0,,,,0,,0,0,,0,
520000,贵州,2020-07-04 08:28:11,147,0,145,2,0,0,,,,0,,0,0,,0,
650000,新疆,2020-07-04 08:28:11,76,0,73,3,0,0,,,,0,,0,0,,0,
640000,宁夏,2020-07-04 08:28:11,75,0,75,0,0,0,,,,0,,0,0,,0,
820000,澳门,2020-07-04 08:28:10,46,0,45,0,0,0,,,,0,,0,0,,0,
630000,青海,2020-07-04 08:28:10,18,0,18,0,0,0,,,,0,,0,0,,0,
540000,西藏,2020-07-04 08:28:10,1,0,1,0,0,0,,,,0,,0,0,,0,
